lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region
48.35936684,9.96292806,1618478138000,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,Radweg ist eng und in schlechtem Zustand. Wenn Autos auf der Straße vorbeifahren und ein Fahrrad entgegenkommt, ist das sehr gefährlich.,0,Ulm
48.3488725,9.94922845,1618478370000,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,Radweg ist sehr eng. ,0,Ulm
48.33848686,9.95242066,1618842610000,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,schnell fahrende Pkw, als Linksabbieger gefährlich,0,Ulm
48.33827736,9.95344783,1618842598000,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,kein direkter Übergang zur anderen Straßenseite, man muss auf der Landstraße fahren,0,Ulm
